fullname,price,new_price,year,sellertype,kmdriven,ownertype,fueltype,transmissiontype,mileage,enginecc,maxpowerbhp,seats,pricelakh,price_old
Maruti Baleno Zeta 1.2,600000,6.81-10.54,2015,Individual,20000,First Owner,Petrol,Manual,21.4,1197,83.1,5,Medium Range,6
Maruti Swift Dzire VXI,575000,6.98-10.40,2016,Individual,40000,First Owner,Petrol,Manual,20.85,1197,83.14,5,Medium Range,5.75
Fiat Grande Punto 1.3 Emotion Pack (Diesel),260000,null,2012,Individual,97000,First Owner,Diesel,Manual,17.8,1248,76,5,Lower Range,2.6
Volkswagen Vento 1.6 Comfortline BSIV,425000,10.12-16.08,2013,Dealer,47000,First Owner,Petrol,Manual,16.09,1598,103.2,5,Medium Range,4.25
Maruti Alto K10 2010-2014 VXI,230000,null,2013,Dealer,25000,First Owner,Petrol,Manual,20.92,998,67.1,5,Lower Range,2.3
Hyundai Creta 1.6 CRDi SX,1225000,10.95-18.30,2019,Individual,15000,First Owner,Diesel,Manual,19.67,1582,126.2,5,Higher Range,12.25
Mahindra Xylo H9,375000,null,2010,Dealer,56823,First Owner,Diesel,Manual,14.02,2179,118.3,8,Lower Range,3.75
Honda City i VTEC VX,750000,12.36-16.57,2015,Individual,50000,First Owner,Petrol,Manual,17.4,1497,117.3,5,Medium Range,7.5
Mahindra Bolero SLE BSIII,350000,9.05-10.69,2011,Individual,25000,First Owner,Diesel,Manual,13.6,2523,63,7,Lower Range,3.5
Maruti Swift Dzire VDI,600000,null,2015,Individual,90000,First Owner,Diesel,Manual,26.59,1248,74,5,Medium Range,6
Maruti Swift Dzire LDI,390000,null,2013,Dealer,45000,First Owner,Diesel,Manual,26.59,1248,74,5,Lower Range,3.9
Honda City 2017-2020 GXi,145000,12.68-16.80,2007,Dealer,77253,First Owner,Petrol,Manual,17.7,1497,78,5,Lower Range,1.45
Hyundai i20 Active 1.2 SX,700000,null,2018,Individual,25000,First Owner,Petrol,Manual,17.19,1197,81.86,5,Medium Range,7
Toyota Fortuner 4x2 Manual,1150000,37.47-43.30,2013,Individual,110000,First Owner,Diesel,Manual,13,2982,168.5,7,Higher Range,11.5
Renault KWID Climber 1.0 MT,340000,3.81-6.29,2017,Individual,30000,First Owner,Petrol,Manual,23.01,999,67,5,Lower Range,3.4
Honda Amaze S Petrol,465000,7.04-9.90,2016,Dealer,39993,First Owner,Petrol,Manual,18.6,1199,88.76,5,Medium Range,4.65
Hyundai Santro Xing GLS,125000,null,2009,Individual,80000,First Owner,Petrol,Manual,17.92,1086,62.1,5,Lower Range,1.25
Mahindra XUV500 W8 2WD,600000,16.59-23.36,2012,Individual,185000,First Owner,Diesel,Manual,15.1,2179,140,7,Medium Range,6
Maruti Swift Dzire VDI,380000,null,2013,Individual,90000,First Owner,Diesel,Manual,23.4,1248,74,5,Lower Range,3.8
Mahindra Xylo E8,400000,null,2009,Individual,60000,First Owner,Diesel,Manual,14,2498,112,8,Lower Range,4
Chevrolet Sail 1.3 Base,300000,null,2014,Individual,90000,First Owner,Diesel,Manual,22.1,1248,74,5,Lower Range,3
Hyundai Xcent 1.2 Kappa SX,500000,null,2015,Individual,20000,First Owner,Petrol,Manual,19.1,1197,82,5,Medium Range,5
Hyundai i20 1.4 Asta Option,850000,null,2018,Individual,15000,First Owner,Diesel,Manual,22.54,1396,88.73,5,Higher Range,8.5
Hyundai i20 1.2 Magna Executive,598000,7.63-12.66,2018,Individual,40000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.98
Honda City i VTEC CVT SV,700000,12.68-16.80,2015,Dealer,31180,First Owner,Petrol,Automatic,18,1497,117.3,5,Medium Range,7
Mahindra TUV 300 mHAWK100 T8 AMT,900000,null,2018,Individual,40000,First Owner,Diesel,Automatic,18.49,1493,100,7,Higher Range,9
Maruti 800 Std,75000,null,2004,Individual,50000,First Owner,Petrol,Manual,16.1,796,37,4,Lower Range,0.75
Tata Indigo LS TDI BSIII,300000,null,2015,Individual,58000,First Owner,Diesel,Manual,19.09,1396,69,5,Lower Range,3
Maruti Swift Dzire ZDI,410000,null,2014,Dealer,56000,First Owner,Diesel,Manual,23.4,1248,74,5,Lower Range,4.1
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),300000,null,2011,Individual,93000,First Owner,Diesel,Manual,20.5,1248,91.7,5,Lower Range,3
Ambassador Avigo 1800 ISZ MPFI AC,225000,null,2010,Dealer,86000,First Owner,Petrol,Manual,12.2,1817,75,5,Lower Range,2.25
Maruti Swift VDI BSIV,300000,null,2011,Individual,120000,First Owner,Diesel,Manual,17.8,1248,null,5,Lower Range,3
Maruti Baleno Zeta Automatic,590000,6.68-10.42,2016,Dealer,52427,First Owner,Petrol,Automatic,21.4,1197,83.1,5,Medium Range,5.9
Mahindra Bolero B6,850000,8.93-10.47,2020,Individual,40000,First Owner,Diesel,Manual,21,1498,74.96,7,Higher Range,8.5
Tata Nano Cx BSIV,108000,null,2011,Individual,70000,First Owner,Petrol,Manual,26,624,35,4,Lower Range,1.08
Mahindra KUV100 NXT G80 K8 5Str BSIV,550000,6.88-8.75,2018,Individual,17000,First Owner,Petrol,Manual,18.15,1198,82,5,Medium Range,5.5
Toyota Etios G,325000,null,2012,Dealer,54325,First Owner,Petrol,Manual,17.6,1496,88.73,5,Lower Range,3.25
Maruti Baleno Vxi - BSIII,625000,6.81-10.54,2016,Dealer,22000,First Owner,Petrol,Manual,15.4,1590,94,5,Medium Range,6.25
Maruti Swift Dzire ZXI,600000,6.98-10.40,2016,Individual,54000,First Owner,Petrol,Manual,20.85,1197,83.14,5,Medium Range,6
Maruti Wagon R LXI Optional,445000,5.11-6.79,2019,Individual,10000,First Owner,Petrol,Manual,20.51,998,67.04,5,Medium Range,4.45
Maruti Ignis 1.2 Delta BSIV,530000,5.77-8.56,2019,Individual,20000,First Owner,Petrol,Manual,20.89,1197,81.8,5,Medium Range,5.3
Toyota Corolla Altis GL,385000,null,2011,Dealer,61000,First Owner,Petrol,Manual,14.53,1798,138.1,5,Lower Range,3.85
Maruti Wagon R LXI CNG,410000,5.97-6.04,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,26.6,998,58.16,5,Lower Range,4.1
Datsun RediGO Gold 1.0,350000,3.29-5.50,2018,Individual,27263,First Owner,Petrol,Manual,22.5,999,68,5,Lower Range,3.5
Tata Indigo eLX BS IV,265000,null,2014,Individual,90000,First Owner,Diesel,Manual,25,1396,69.01,5,Lower Range,2.65
Hyundai Verna 1.6 CRDI,520000,12.84-18.09,2014,Individual,110000,First Owner,Diesel,Manual,22.32,1582,126.3,5,Medium Range,5.2
Hyundai i20 Asta Option 1.4 CRDi,750000,9.59-12.83,2016,Individual,70000,First Owner,Diesel,Manual,22.54,1396,88.73,5,Medium Range,7.5
Maruti Swift Dzire VDI,560000,null,2017,Individual,70000,First Owner,Diesel,Manual,26.59,1248,74,5,Medium Range,5.6
Tata Vista TDI LS,200000,null,2014,Individual,190000,First Owner,Diesel,Manual,19.1,1405,70,5,Lower Range,2
Hyundai Xcent 1.2 CRDi SX,600000,null,2017,Individual,40000,First Owner,Diesel,Manual,25.4,1186,73.97,5,Medium Range,6
Hyundai i20 1.2 Spotz,655000,8.03-13.41,2019,Dealer,39000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,6.55
Hyundai Santro Xing XE,125000,null,2007,Dealer,56000,First Owner,Petrol,Manual,17.8,1086,63,5,Lower Range,1.25
Toyota Corolla Altis 1.8 VL AT,425000,null,2009,Dealer,58000,First Owner,Petrol,Automatic,14.53,1794,138.1,5,Medium Range,4.25
Maruti Omni E MPI STD BS IV,220000,null,2017,Individual,40000,First Owner,Petrol,Manual,16.8,796,34.2,8,Lower Range,2.2
Hyundai i20 1.2 Spotz,550000,7.83-13.12,2018,Individual,34000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.5
Mahindra Scorpio 1.99 S10,1150000,15.10-19.92,2017,Individual,50000,First Owner,Diesel,Manual,15.4,1997,120,7,Higher Range,11.5
Volkswagen Vento Diesel Highline,500000,null,2012,Individual,77400,First Owner,Diesel,Manual,20.54,1598,103.6,5,Medium Range,5
Mahindra Marazzo M2 BSIV,990000,13.89-16.43,2019,Individual,36000,First Owner,Diesel,Manual,17.3,1497,121,7,Higher Range,9.9
Hyundai Verna SX Opt Diesel,551000,12.74-18.17,2013,Dealer,47876,First Owner,Diesel,Manual,25,1493,113.42,5,Medium Range,5.51
Mahindra XUV500 W11 Option AT BSIV,1650000,16.54-23.28,2018,Individual,21500,First Owner,Diesel,Automatic,15.1,2179,152.87,7,Higher Range,16.5
Hyundai Grand i10 CRDi Magna,350000,null,2015,Dealer,75000,First Owner,Diesel,Manual,24,1120,70,5,Lower Range,3.5
Ford Aspire 1.2 Ti-VCT Titanium,500000,6.85-8.70,2017,Dealer,58000,First Owner,Petrol,Manual,18.16,1196,86.8,5,Medium Range,5
Maruti Swift Dzire VXI 1.2,575000,6.85-10.26,2018,Individual,30000,First Owner,Petrol,Manual,21.21,1197,81.8,5,Medium Range,5.75
Hyundai Grand i10 1.2 CRDi Asta,545000,null,2018,Individual,50000,First Owner,Diesel,Manual,24,1186,73.97,5,Medium Range,5.45
Ford Figo 1.2P Titanium MT,525000,6.02-7.91,2017,Trustmark Dealer,19093,First Owner,Petrol,Manual,18.16,1196,86.8,5,Medium Range,5.25
Honda Amaze E i-Vtech,400000,7.02-9.85,2014,Individual,50000,First Owner,Petrol,Manual,18,1198,86.7,5,Lower Range,4
Maruti Wagon R LXI BSIII,155000,5.16-6.94,2006,Dealer,37000,First Owner,Petrol,Manual,14,1061,64,5,Lower Range,1.55
Mahindra Supro VX 8 Str,540000,null,2019,Individual,3888,First Owner,Diesel,Manual,23.5,909,45,8,Medium Range,5.4
Maruti Swift Dzire VDI,545000,null,2016,Dealer,47000,First Owner,Diesel,Manual,26.59,1248,74,5,Medium Range,5.45
Honda City V MT,545000,13.13-17.45,2013,Individual,70000,First Owner,Petrol,Manual,16.8,1497,116.3,5,Medium Range,5.45
Renault KWID RXL,240000,3.62-6.09,2016,Individual,25000,First Owner,Petrol,Manual,25.17,799,53.3,5,Lower Range,2.4
Maruti Vitara Brezza LDi Option,725000,null,2018,Dealer,26000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Medium Range,7.25
Ford Aspire 1.2 Ti-VCT Titanium Opt,480000,6.85-8.45,2017,Individual,30000,First Owner,Petrol,Manual,18.16,1196,86.8,5,Medium Range,4.8
Hyundai i20 Magna Optional 1.2,375000,7.83-13.12,2013,Individual,15000,First Owner,Petrol,Manual,18.5,1197,82.9,5,Lower Range,3.75
Maruti Swift VDi BSIII W/ ABS,225000,null,2011,Individual,160000,First Owner,Diesel,Manual,17.8,1248,75,5,Lower Range,2.25
Tata Tiago 1.2 Revotron XZ,400000,5.63-7.89,2017,Individual,32100,First Owner,Petrol,Manual,23.84,1199,84,5,Lower Range,4
Hyundai i20 Magna Optional 1.2,550000,8.03-13.41,2016,Dealer,22000,First Owner,Petrol,Manual,18.5,1197,82.9,5,Medium Range,5.5
Mahindra Scorpio S10 7 Seater,1050000,null,2016,Dealer,44000,First Owner,Diesel,Manual,15.4,2179,120,7,Higher Range,10.5
Volkswagen Polo 1.2 MPI Trendline,450000,6.94-11.19,2016,Dealer,78000,First Owner,Petrol,Manual,18.78,1198,74,5,Medium Range,4.5
Mercedes-Benz C-Class C 200 CGI Elegance,775000,47.62-1.60 ,2012,Dealer,74352,First Owner,Petrol,Automatic,11.74,1796,186,5,Medium Range,7.75
Maruti Wagon R VXI,350000,5.16-6.94,2014,Individual,37000,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3.5
Honda City i DTEC VX Option,550000,14.79-17.55,2014,Dealer,69000,First Owner,Diesel,Manual,25.1,1498,98.6,5,Medium Range,5.5
Kia Seltos HTK Plus G,1080000,11.19-19.20,2019,Individual,12120,First Owner,Petrol,Manual,16.8,1497,113.4,5,Higher Range,10.8
Maruti Baleno Delta,575000,null,2016,Dealer,52000,First Owner,Petrol,Manual,21.01,1197,81.8,5,Medium Range,5.75
Toyota Innova 2.5 G (Diesel) 8 Seater,950000,null,2016,Individual,120000,First Owner,Diesel,Manual,12.99,2494,100.6,8,Higher Range,9.5
Maruti Alto 800 LXI,230000,3.47-4.66,2013,Individual,55000,First Owner,Petrol,Manual,22.74,796,47.3,5,Lower Range,2.3
Hyundai i20 1.4 CRDi Magna,270000,8.60-11.28,2011,Individual,160000,First Owner,Diesel,Manual,21.9,1396,90,5,Lower Range,2.7
Chevrolet Beat Diesel LS,165000,null,2012,Dealer,42000,First Owner,Diesel,Manual,25.44,936,56.3,5,Lower Range,1.65
Ford Figo Petrol EXI,130000,6.13-7.91,2011,Individual,40000,First Owner,Petrol,Manual,15.6,1196,70,5,Lower Range,1.3
Maruti Swift Dzire VXI,370000,6.53-9.95,2012,Dealer,46000,First Owner,Petrol,Manual,19.1,1197,85.8,5,Lower Range,3.7
Maruti Baleno Delta 1.2,570000,6.68-10.42,2017,Dealer,25000,First Owner,Petrol,Manual,21.4,1197,83.1,5,Medium Range,5.7
Toyota Etios GD,390000,null,2015,Individual,240000,First Owner,Diesel,Manual,23.59,1364,67.05,5,Lower Range,3.9
Volkswagen Polo Diesel Comfortline 1.2L,365000,null,2013,Dealer,90000,First Owner,Diesel,Manual,22.07,1199,73.9,5,Lower Range,3.65
Hyundai i20 Magna,280000,null,2012,Dealer,49566,First Owner,Petrol,Manual,18.5,1197,82.85,5,Lower Range,2.8
Hyundai Verna CRDi 1.6 AT SX Option,1250000,13.09-18.29,2018,Dealer,14000,First Owner,Diesel,Automatic,22,1582,126.2,5,Higher Range,12.5
Hyundai i20 2015-2017 Sportz 1.2,590000,8.03-13.41,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.9
Maruti Celerio VXI AMT BSIV,475000,5.30-6.65,2018,Individual,5000,First Owner,Petrol,Automatic,23.1,998,67.04,5,Medium Range,4.75
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,685000,10.14-13.79,2017,Dealer,55000,First Owner,Diesel,Manual,23,1498,98.96,5,Medium Range,6.85
Hyundai Verna SX CRDi AT,380000,null,2012,Dealer,65000,First Owner,Diesel,Automatic,19.08,1582,126.32,5,Lower Range,3.8
Renault KWID 1.0 RXT Optional,330000,3.97-6.48,2018,Individual,22000,First Owner,Petrol,Manual,23.01,999,67,5,Lower Range,3.3
Maruti Baleno Delta,650000,6.68-10.42,2018,Trustmark Dealer,7671,First Owner,Petrol,Manual,21.01,1197,81.8,5,Medium Range,6.5
Maruti Wagon R LXI,325000,5.11-6.79,2016,Individual,66000,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3.25
Maruti Swift Dzire AMT VXI,640000,6.56-10.04,2018,Dealer,45156,First Owner,Petrol,Automatic,21.21,1197,81.8,5,Medium Range,6.4
Hyundai Venue SX Opt Turbo BSIV,949000,7.19-12.12,2019,Individual,25000,First Owner,Petrol,Manual,18.27,998,118.35,5,Higher Range,9.49
Nissan Terrano XL Plus 85 PS,750000,null,2015,Individual,70000,First Owner,Diesel,Manual,20.45,1461,83.8,5,Medium Range,7.5
Hyundai Verna 1.6 CRDi SX,660000,12.84-18.09,2015,Individual,120000,First Owner,Diesel,Manual,23.9,1582,126.2,5,Medium Range,6.6
Maruti Swift VXi BSIV,435000,6.35-9.27,2014,Dealer,28000,First Owner,Petrol,Manual,16.1,1197,85,5,Medium Range,4.35
Hyundai i20 Sportz 1.4 CRDi,385000,9.74-13.09,2013,Dealer,55000,First Owner,Diesel,Manual,21.9,1396,88.76,5,Lower Range,3.85
Hyundai Santa Fe 4X2,1000000,null,2011,Individual,104000,First Owner,Diesel,Manual,14.66,2199,194.3,7,Higher Range,10
Hyundai Verna CRDi 1.6 AT SX Option,1250000,13.09-18.29,2019,Dealer,14000,First Owner,Diesel,Automatic,22,1582,126.2,5,Higher Range,12.5
Hyundai Xcent 1.2 VTVT SX,550000,null,2017,Individual,18000,First Owner,Petrol,Manual,20.14,1197,81.86,5,Medium Range,5.5
Maruti Wagon R LX BS IV,155000,5.30-7.07,2009,Dealer,98780,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,1.55
Maruti Swift VDI BSIV,415000,null,2015,Dealer,58000,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,4.15
Maruti Alto K10 2010-2014 VXI,251000,null,2011,Individual,30000,First Owner,Petrol,Manual,20.92,998,67.1,5,Lower Range,2.51
Mahindra Scorpio S10 7 Seater,1150000,15.10-19.92,2016,Dealer,46400,First Owner,Diesel,Manual,15.4,2179,120,7,Higher Range,11.5
Hyundai i10 Magna 1.1L,310000,null,2014,Trustmark Dealer,32111,First Owner,Petrol,Manual,19.81,1086,68.05,5,Lower Range,3.1
Datsun GO Plus T BSIV,350000,4.80-7.88,2015,Individual,35000,First Owner,Petrol,Manual,19.44,1198,67,7,Lower Range,3.5
Mahindra Scorpio 1.99 S6 Plus,1125000,15.10-19.92,2017,Dealer,30000,First Owner,Diesel,Manual,15.4,1997,120,7,Higher Range,11.25
BMW 5 Series 530d M Sport,2600000,null,2016,Dealer,63000,First Owner,Diesel,Automatic,18.59,2993,261.49,5,Higher Range,26
Chevrolet Beat LT,200000,null,2017,Individual,43890,First Owner,Petrol,Manual,17.8,1199,76.8,5,Lower Range,2
Datsun GO Plus Anniversary Edition,480000,4.97-8.09,2018,Individual,10000,First Owner,Petrol,Manual,20.62,1198,67,7,Medium Range,4.8
Maruti Swift Dzire AMT ZDI Plus,850000,null,2017,Individual,25000,First Owner,Diesel,Automatic,28.4,1248,74.02,5,Higher Range,8.5
Hyundai Creta 1.6 CRDi AT SX Plus,1100000,11.70-19.75,2017,Dealer,102000,First Owner,Diesel,Automatic,17.01,1582,126.2,5,Higher Range,11
Maruti Swift VXI 2018,575000,null,2018,Dealer,35000,First Owner,Petrol,Manual,22,1197,81.8,5,Medium Range,5.75
Hyundai Santro LP,160000,5.51-7.46,2007,Individual,54000,First Owner,Petrol,Manual,null,999,null,5,Lower Range,1.6
Maruti Swift Dzire VXi,340000,6.56-10.04,2012,Dealer,49948,First Owner,Petrol,Manual,17.5,1298,85.8,5,Lower Range,3.4
Tata Indigo eLX BS IV,559000,null,2018,Individual,114851,First Owner,Diesel,Manual,25,1396,69.01,5,Medium Range,5.59
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,925000,10.15-13.71,2018,Individual,55000,First Owner,Diesel,Manual,23,1498,98.96,5,Higher Range,9.25
Hyundai Grand i10 Magna,400000,6.48-6.57,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,1197,82,5,Lower Range,4
Hyundai Xcent 1.2 CRDi S,560000,null,2019,Individual,35000,First Owner,Diesel,Manual,25.4,1186,73.97,5,Medium Range,5.6
Honda City i VTEC VX Option,725000,12.68-16.80,2016,Dealer,49625,First Owner,Petrol,Manual,17.8,1497,117.3,5,Medium Range,7.25
Maruti Swift Dzire ZDI,600000,null,2014,Individual,35000,First Owner,Diesel,Manual,23.4,1248,74,5,Medium Range,6
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,550000,14.79-19.20,2013,Individual,95000,First Owner,Diesel,Manual,12.05,2179,120,8,Medium Range,5.5
Ford Aspire 1.5 TDCi Titanium,585000,9.72-10.08,2017,Dealer,36000,First Owner,Diesel,Manual,25.83,1498,99,5,Medium Range,5.85
Maruti Wagon R VXI,411000,5.36-7.12,2019,Individual,50000,First Owner,Petrol,Manual,21.79,998,67.05,5,Lower Range,4.11
Maruti Swift Dzire VXI,450000,6.80-10.13,2015,Individual,26500,First Owner,Petrol,Manual,20.85,1197,83.14,5,Medium Range,4.5
Honda CR-V 2.0L 2WD AT,1290000,32.64-34.05,2015,Dealer,80000,First Owner,Petrol,Automatic,13.7,1997,153.86,5,Higher Range,12.9
Volkswagen Polo 1.2 MPI Highline,455000,null,2015,Dealer,46000,First Owner,Petrol,Manual,16.47,1198,74,5,Medium Range,4.55
Hyundai Grand i10 Nios Asta,710000,5.96-8.91,2019,Individual,9000,First Owner,Petrol,Manual,20.7,1197,81.86,5,Medium Range,7.1
Mahindra TUV 300 T4,450000,null,2016,Individual,70000,First Owner,Diesel,Manual,18.49,1493,100,7,Medium Range,4.5
Toyota Etios Liva 1.2 VX,465000,null,2015,Dealer,33000,First Owner,Petrol,Manual,17.71,1197,78.9,5,Medium Range,4.65
Honda City V MT,770000,12.68-16.80,2016,Dealer,53000,First Owner,Petrol,Manual,16.8,1497,116.3,5,Medium Range,7.7
Tata Indigo LS (TDI) BS-III,320000,null,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01,5,Lower Range,3.2
Tata Indigo LX (TDI) BS-III,325000,null,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01,5,Lower Range,3.25
Ford Endeavour 3.2 Titanium AT 4X4,2900000,36.27-42.73,2018,Individual,11387,First Owner,Diesel,Automatic,10.91,3198,197,7,Higher Range,29
Honda Amaze VX i-DTEC,720000,8.99-11.66,2018,Individual,50000,First Owner,Diesel,Manual,25.8,1498,98.6,5,Medium Range,7.2
Mahindra KUV 100 mFALCON D75 K6 5str,375000,null,2016,Dealer,52000,First Owner,Diesel,Manual,25.32,1198,77,5,Lower Range,3.75
Chevrolet Aveo 1.4 LT ABS BSIV,145000,null,2010,Individual,60000,First Owner,Petrol,Manual,14.49,1399,92.7,5,Lower Range,1.45
Datsun GO Plus T BSIV,400000,4.80-7.88,2015,Individual,35000,First Owner,Petrol,Manual,19.44,1198,67,7,Lower Range,4
Renault Duster 85PS Diesel RxL Plus,600000,null,2015,Individual,48000,First Owner,Diesel,Manual,19.87,1461,83.8,5,Medium Range,6
Honda Jazz 1.2 V i VTEC,600000,8.56-10.99,2018,Individual,18000,First Owner,Petrol,Manual,18.7,1199,88.7,5,Medium Range,6
Maruti Wagon R LXI DUO,270000,null,2012,Individual,57413,First Owner,LPG,Manual,14.4,998,61.7,5,Lower Range,2.7
Hyundai i20 Magna 1.2,500000,7.63-12.66,2015,Individual,30000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5
Hyundai Verna 1.6 CRDi SX,650000,13.09-18.29,2015,Dealer,55000,First Owner,Diesel,Manual,23.9,1582,126.2,5,Medium Range,6.5
Chevrolet Sail 1.2 LS ABS,380000,null,2015,Individual,120000,First Owner,Petrol,Manual,18.2,1199,82.4,5,Lower Range,3.8
Mitsubishi Pajero Sport 4X4,728000,null,2012,Individual,165000,First Owner,Diesel,Manual,13.5,2477,175.56,7,Medium Range,7.28
Maruti Swift AMT ZXI,660000,6.29-9.14,2018,Individual,10000,First Owner,Petrol,Automatic,21.21,1197,81.8,5,Medium Range,6.6
Tata Indica Vista Aura 1.3 Quadrajet,180000,null,2010,Individual,120000,First Owner,Diesel,Manual,18,1248,75,5,Lower Range,1.8
BMW 3 Series 320d Luxury Line,2090000,null,2016,Dealer,68000,First Owner,Diesel,Automatic,22.69,1995,190,5,Higher Range,20.9
Chevrolet Beat Diesel LS,250000,null,2015,Dealer,55000,First Owner,Diesel,Manual,25.44,936,56.3,5,Lower Range,2.5
Kia Seltos HTK Plus G,1275000,11.52-20.26,2020,Dealer,8000,First Owner,Petrol,Manual,16.8,1497,113.4,5,Higher Range,12.75
Toyota Corolla Altis G,455000,null,2012,Dealer,80000,First Owner,Petrol,Manual,14.53,1798,138.1,5,Medium Range,4.55
Maruti Swift VDI,495000,null,2015,Dealer,65000,First Owner,Diesel,Manual,28.4,1248,74,5,Medium Range,4.95
Maruti Ritz VXI,220000,null,2010,Individual,47000,First Owner,Petrol,Manual,21.1,1197,85.8,5,Lower Range,2.2
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,800000,null,2018,Individual,185000,First Owner,Diesel,Manual,25.1,1248,88.5,5,Medium Range,8
Hyundai Santa Fe 2WD AT,1295000,null,2014,Dealer,68000,First Owner,Diesel,Automatic,13.01,2199,194.3,7,Higher Range,12.95
Hyundai Grand i10 Sportz,475000,7.11-7.48,2016,Individual,25000,First Owner,Petrol,Manual,18.9,1197,82,5,Medium Range,4.75
Tata Sumo Gold EX,380000,null,2014,Individual,280000,First Owner,Diesel,Manual,15.3,2956,83.83,7,Lower Range,3.8
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,900000,null,2018,Individual,7791,First Owner,Diesel,Manual,25.1,1248,88.5,5,Higher Range,9
